fecha_fijacion;index;serie;valor
01-04-1993;NO;DÓLAR;417,6
01-04-1993;NO;Factor de actualización;2,8944
01-04-1993;NO;PNE AYSEN;24,693
01-04-1993;NO;PNE PARENAS;11,956
01-04-1993;NO;PNE PNATALES;11,016
01-04-1993;NO;PNE PORVENIR;12,724
01-04-1993;NO;PNE SEN-SIC;12,71
01-04-1993;NO;PNE SEN-SING Antof.;25,481
01-04-1993;NO;PNE SEN-SING Cruc.;23,29
01-04-1993;NO;PNP AYSEN;3321
01-04-1993;NO;PNP PARENAS;3194,6
01-04-1993;NO;PNP PNATALES;3194,6
01-04-1993;NO;PNP PORVENIR;3194,6
01-04-1993;NO;PNP SEN-SIC;2046,8
01-04-1993;NO;PNP SEN-SING Antof.;2468
01-04-1993;NO;PNP SEN-SING Cruc.;2468
01-04-1993;NO;UF;9516,99
01-10-1993;NO;DÓLAR;432,85
01-10-1993;NO;Factor de actualización;2,7111
01-10-1993;NO;PNE AYSEN;23,192
01-10-1993;NO;PNE PARENAS;15,773
01-10-1993;NO;PNE PNATALES;11,722
01-10-1993;NO;PNE PORVENIR;13,137
01-10-1993;NO;PNE SEN-SIC;13,414
01-10-1993;NO;PNE SEN-SING Antof.;24,849
01-10-1993;NO;PNE SEN-SING Cruc.;22,712
01-10-1993;NO;PNP AYSEN;3505
01-10-1993;NO;PNP PARENAS;3374,1
01-10-1993;NO;PNP PNATALES;3374,1
01-10-1993;NO;PNP PORVENIR;3374,1
01-10-1993;NO;PNP SEN-SIC;2489,3
01-10-1993;NO;PNP SEN-SING Antof.;2606,2
01-10-1993;NO;PNP SEN-SING Cruc.;2606,2
01-10-1993;NO;UF;10160,4
01-04-1994;NO;DÓLAR;455,21
01-04-1994;NO;Factor de actualización;2,556
01-04-1994;NO;PNE AYSEN;24,9
01-04-1994;NO;PNE PARENAS;16,583
01-04-1994;NO;PNE PNATALES;12,596
01-04-1994;NO;PNE PORVENIR;14,189
01-04-1994;NO;PNE SEN-SIC;14,112
01-04-1994;NO;PNE SEN-SING Antof.;26,396
01-04-1994;NO;PNE SEN-SING Cruc.;24,126
01-04-1994;NO;PNP AYSEN;3745,8
01-04-1994;NO;PNP PARENAS;3608,1
01-04-1994;NO;PNP PNATALES;3608,1
01-04-1994;NO;PNP PORVENIR;3608,1
01-04-1994;NO;PNP SEN-SIC;2655,7
01-04-1994;NO;PNP SEN-SING Antof.;2780,9
01-04-1994;NO;PNP SEN-SING Cruc.;2780,9
01-04-1994;NO;UF;10776,89
01-10-1994;NO;DÓLAR;414,87
01-10-1994;NO;Factor de actualización;2,433
01-10-1994;NO;PNE AYSEN;23,544
01-10-1994;NO;PNE PARENAS;17,233
01-10-1994;NO;PNE PNATALES;13,252
01-10-1994;NO;PNE PORVENIR;13,989
01-10-1994;NO;PNE SEN-SIC;15,309
01-10-1994;NO;PNE SEN-SING Antof.;25,228
01-10-1994;NO;PNE SEN-SING Cruc.;23,058
01-10-1994;NO;PNP AYSEN;3529,6
01-10-1994;NO;PNP PARENAS;3529,6
01-10-1994;NO;PNP PNATALES;3529,6
01-10-1994;NO;PNP PORVENIR;3529,6
01-10-1994;NO;PNP SEN-SIC;2510,7
01-10-1994;NO;PNP SEN-SING Antof.;2723,6
01-10-1994;NO;PNP SEN-SING Cruc.;2723,6
01-10-1994;NO;UF;11321,8
01-04-1995;NO;DÓLAR;410,46
01-04-1995;NO;Factor de actualización;2,3546
01-04-1995;NO;PNE AYSEN;23,388
01-04-1995;NO;PNE PARENAS;17,197
01-04-1995;NO;PNE PNATALES;13,323
01-04-1995;NO;PNE PORVENIR;13,899
01-04-1995;NO;PNE SEN-SIC;15,556
01-04-1995;NO;PNE SEN-SING Antof.;21,272
01-04-1995;NO;PNE SEN-SING Cruc.;19,442
01-04-1995;NO;PNP AYSEN;3690,5
01-04-1995;NO;PNP PARENAS;3600,8
01-04-1995;NO;PNP PNATALES;3600,8
01-04-1995;NO;PNP PORVENIR;3600,8
01-04-1995;NO;PNP SEN-SIC;2565,9
01-04-1995;NO;PNP SEN-SING Antof.;2900,9
01-04-1995;NO;PNP SEN-SING Cruc.;2900,9
01-04-1995;NO;UF;11698,75
01-10-1995;NO;DÓLAR;394,56
01-10-1995;NO;Factor de actualización;2,25
01-10-1995;NO;PNE AYSEN;24,546
01-10-1995;NO;PNE PARENAS;16,913
01-10-1995;NO;PNE PNATALES;13,532
01-10-1995;NO;PNE PORVENIR;13,704
01-10-1995;NO;PNE SEN-SIC;14,528
01-10-1995;NO;PNE SEN-SING Antof.;18,239
01-10-1995;NO;PNE SEN-SING Cruc.;16,671
01-10-1995;NO;PNP AYSEN;3650,8
01-10-1995;NO;PNP PARENAS;3562,9
01-10-1995;NO;PNP PNATALES;3562,9
01-10-1995;NO;PNP PORVENIR;3562,9
01-10-1995;NO;PNP SEN-SIC;2526,6
01-10-1995;NO;PNP SEN-SING Antof.;3124,8
01-10-1995;NO;PNP SEN-SING Cruc.;3124,8
01-10-1995;NO;UF;12242,71
01-04-1996;NO;DÓLAR;411,55
01-04-1996;NO;Factor de actualización;2,1852
01-04-1996;NO;PNE AYSEN;26,714
01-04-1996;NO;PNE PARENAS;19,219
01-04-1996;NO;PNE PNATALES;15,203
01-04-1996;NO;PNE PORVENIR;15,52
01-04-1996;NO;PNE SEN-SIC;14,762
01-04-1996;NO;PNE SEN-SING Antof.;19,812
01-04-1996;NO;PNE SEN-SING Cruc.;18,108
01-04-1996;NO;PNP AYSEN;3910,1
01-04-1996;NO;PNP PARENAS;3815,1
01-04-1996;NO;PNP PNATALES;3815,1
01-04-1996;NO;PNP PORVENIR;3815,1
01-04-1996;NO;PNP SEN-SIC;2687,65
01-04-1996;NO;PNP SEN-SING Antof.;2917,1645
01-04-1996;NO;PNP SEN-SING Cruc.;2917,1645
01-04-1996;NO;UF;12606
01-10-1996;NO;DÓLAR;411,84
01-10-1996;NO;Factor de actualización;2,1076
01-10-1996;NO;PNE AYSEN;28,491
01-10-1996;NO;PNE PARENAS;19,249
01-10-1996;NO;PNE PNATALES;17,602
01-10-1996;NO;PNE PORVENIR;17,713
01-10-1996;NO;PNE SEN-SIC;12,895
01-10-1996;NO;PNE SEN-SING Antof.;19,7222
01-10-1996;NO;PNE SEN-SING Cruc.;18,026
01-10-1996;NO;PNP AYSEN;3999,8
01-10-1996;NO;PNP PARENAS;3904,2
01-10-1996;NO;PNP PNATALES;3904,2
01-10-1996;NO;PNP PORVENIR;3904,2
01-10-1996;NO;PNP SEN-SIC;2888,6156
01-10-1996;NO;PNP SEN-SING Antof.;2972,1
01-10-1996;NO;PNP SEN-SING Cruc.;2972,1
01-10-1996;NO;UF;13069,71
01-04-1997;NO;DÓLAR;414,05
01-04-1997;NO;Factor de actualización;2,0417
01-04-1997;NO;PNE AYSEN;27,054
01-04-1997;NO;PNE PARENAS;20,181
01-04-1997;NO;PNE PNATALES;18,723
01-04-1997;NO;PNE PORVENIR;18,935
01-04-1997;NO;PNE SEN-SIC;13,697
01-04-1997;NO;PNE SEN-SING Antof.;18,465
01-04-1997;NO;PNE SEN-SING Cruc.;16,877
01-04-1997;NO;PNP AYSEN;4089,6
01-04-1997;NO;PNP PARENAS;3992,6
01-04-1997;NO;PNP PNATALES;3992,6
01-04-1997;NO;PNP PORVENIR;3992,6
01-04-1997;NO;PNP SEN-SIC;2790,16
01-04-1997;NO;PNP SEN-SING Antof.;3026,3
01-04-1997;NO;PNP SEN-SING Cruc.;3026,3
01-04-1997;NO;UF;13491,84
01-10-1997;NO;DÓLAR;414,9
01-10-1997;NO;Factor de actualización;1,9991
01-10-1997;NO;PNE AYSEN;27,043
01-10-1997;NO;PNE PARENAS;21,849
01-10-1997;NO;PNE PNATALES;19,654
01-10-1997;NO;PNE PORVENIR;19,504
01-10-1997;NO;PNE SEN-SIC;11,311
01-10-1997;NO;PNE SEN-SING Antof.;16,668
01-10-1997;NO;PNE SEN-SING Cruc.;15,068
01-10-1997;NO;PNP AYSEN;4091,7
01-10-1997;NO;PNP PARENAS;3995,2
01-10-1997;NO;PNP PNATALES;3995,2
01-10-1997;NO;PNP PORVENIR;4875,2
01-10-1997;NO;PNP SEN-SIC;3111,75
01-10-1997;NO;PNP SEN-SING Antof.;3286,4
01-10-1997;NO;PNP SEN-SING Cruc.;3286,4
01-10-1997;NO;UF;13779,22
01-04-1998;NO;DÓLAR;452,53
01-04-1998;NO;Factor de actualización;1,9394
01-04-1998;NO;PNE AYSEN;27,143
01-04-1998;NO;PNE PARENAS;23,138
01-04-1998;NO;PNE PNATALES;20,458
01-04-1998;NO;PNE PORVENIR;20,18
01-04-1998;NO;PNE SEN-SIC;10,437
01-04-1998;NO;PNE SEN-SING Antof.;15,437
01-04-1998;NO;PNE SEN-SING Cruc.;13,955
01-04-1998;NO;PNP AYSEN;4341,7
01-04-1998;NO;PNP PARENAS;4239,2
01-04-1998;NO;PNP PNATALES;4239,2
01-04-1998;NO;PNP PORVENIR;5175,8
01-04-1998;NO;PNP SEN-SIC;3328,96
01-04-1998;NO;PNP SEN-SING Antof.;4236,5
01-04-1998;NO;PNP SEN-SING Cruc.;4236,5
01-04-1998;NO;UF;14203,84
01-10-1998;NO;DÓLAR;470,5
01-10-1998;NO;Factor de actualización;1,9033
01-10-1998;NO;PNE AYSEN;28,564
01-10-1998;NO;PNE PARENAS;24,73
01-10-1998;NO;PNE PNATALES;21,396
01-10-1998;NO;PNE PORVENIR;20,849
01-10-1998;NO;PNE SEN-SIC;9,987
01-10-1998;NO;PNE SEN-SING Antof.;13,069
01-10-1998;NO;PNE SEN-SING Cruc.;11,814
01-10-1998;NO;PNP AYSEN;4453,3
01-10-1998;NO;PNP PARENAS;4348,21
01-10-1998;NO;PNP PNATALES;4348,21
01-10-1998;NO;PNP PORVENIR;5307,75
01-10-1998;NO;PNP SEN-SIC;3288,29
01-10-1998;NO;PNP SEN-SING Antof.;5311,2
01-10-1998;NO;PNP SEN-SING Cruc.;5311,2
01-10-1998;NO;UF;14473,07
01-04-1999;NO;DÓLAR;492,48
01-04-1999;NO;Factor de actualización;1,8702
01-04-1999;NO;PNE AYSEN;28,452
01-04-1999;NO;PNE PARENAS;25,763
01-04-1999;NO;PNE PNATALES;22,754
01-04-1999;NO;PNE PORVENIR;21,803
01-04-1999;NO;PNE SEN-SIC;10,633
01-04-1999;NO;PNE SEN-SING Antof.;11,659
01-04-1999;NO;PNE SEN-SING Cruc.;10,54
01-04-1999;NO;PNP AYSEN;4567,16
01-04-1999;NO;PNP PARENAS;4479,83
01-04-1999;NO;PNP PNATALES;4479,83
01-04-1999;NO;PNP PORVENIR;5466,34
01-04-1999;NO;PNP SEN-SIC;2753,53
01-04-1999;NO;PNP SEN-SING Antof.;5391,2
01-04-1999;NO;PNP SEN-SING Cruc.;5391,2
01-04-1999;NO;UF;14729,25
01-10-1999;NO;DÓLAR;524,55
01-10-1999;NO;Factor de actualización;1,843
01-10-1999;NO;PNE AYSEN;30,347
01-10-1999;NO;PNE PARENAS;27,533
01-10-1999;NO;PNE PNATALES;25,105
01-10-1999;NO;PNE PORVENIR;23,604
01-10-1999;NO;PNE SEN-SIC;10,907
01-10-1999;NO;PNE SEN-SING Antof.;10,947
01-10-1999;NO;PNE SEN-SING Cruc.;9,896
01-10-1999;NO;PNP AYSEN;4793,4
01-10-1999;NO;PNP PARENAS;4701,07
01-10-1999;NO;PNP PNATALES;4701,07
01-10-1999;NO;PNP PORVENIR;5744,71
01-10-1999;NO;PNP SEN-SIC;2747,62
01-10-1999;NO;PNP SEN-SING Antof.;5228,3
01-10-1999;NO;PNP SEN-SING Cruc.;5228,3
01-10-1999;NO;UF;14946,8
01-04-2000;NO;DÓLAR;504,38
01-04-2000;NO;Factor de actualización;1,8104
01-04-2000;NO;PNE AYSEN;31,733
01-04-2000;NO;PNE PARENAS;25,966
01-04-2000;NO;PNE PNATALES;24,471
01-04-2000;NO;PNE PORVENIR;23,303
01-04-2000;NO;PNE SEN-SIC;11,803
01-04-2000;NO;PNE SEN-SING Antof.;10,77
01-04-2000;NO;PNE SEN-SING Cruc.;9,736
01-04-2000;NO;PNP AYSEN;4832,11
01-04-2000;NO;PNP PARENAS;4759,78
01-04-2000;NO;PNP PNATALES;4759,78
01-04-2000;NO;PNP PORVENIR;5812,58
01-04-2000;NO;PNP SEN-SIC;2691,37
01-04-2000;NO;PNP SEN-SING Antof.;5645,4
01-04-2000;NO;PNP SEN-SING Cruc.;5645,4
01-04-2000;NO;UF;15215,63
01-10-2000;SI;DÓLAR;565,9
01-10-2000;NO;DÓLAR;565,9
01-10-2000;SI;Factor de actualización;1,7733
01-10-2000;NO;Factor de actualización;1,7733
01-10-2000;SI;PNE AYSEN;36,068
01-10-2000;NO;PNE AYSEN;39,864
01-10-2000;SI;PNE PARENAS;25,966
01-10-2000;NO;PNE PARENAS;28,167
01-10-2000;SI;PNE PNATALES;27,08
01-10-2000;NO;PNE PNATALES;29,158
01-10-2000;SI;PNE PORVENIR;23,303
01-10-2000;NO;PNE PORVENIR;27,223
01-10-2000;SI;PNE SEN-SIC;12,994
01-10-2000;NO;PNE SEN-SIC;14,85
01-10-2000;SI;PNE SEN-SING Antof.;10,77
01-10-2000;NO;PNE SEN-SING Antof.;13,658
01-10-2000;SI;PNE SEN-SING Cruc.;9,736
01-10-2000;NO;PNE SEN-SING Cruc.;12,347
01-10-2000;SI;PNP AYSEN;5080
01-10-2000;NO;PNP AYSEN;5218,73
01-10-2000;SI;PNP PARENAS;4759,78
01-10-2000;NO;PNP PARENAS;5139,5
01-10-2000;SI;PNP PNATALES;5003,96
01-10-2000;NO;PNP PNATALES;5139,5
01-10-2000;SI;PNP PORVENIR;5812,58
01-10-2000;NO;PNP PORVENIR;6293,26
01-10-2000;SI;PNP SEN-SIC;2868,19
01-10-2000;NO;PNP SEN-SIC;2731,85
01-10-2000;SI;PNP SEN-SING Antof.;5645,4
01-10-2000;NO;PNP SEN-SING Antof.;4705,6
01-10-2000;SI;PNP SEN-SING Cruc.;5645,4
01-10-2000;NO;PNP SEN-SING Cruc.;4705,6
01-10-2000;SI;UF;15533,75
